"No.","분류","품명","제조사","제조사 P/N","핵심 사양","수량","단위","대체품 허용","단가(원, 공급사 기입)","납기(공급사 기입)","비고"
"1","제어보드","ESP32-S3 LCD 제어보드","Waveshare","ESP32-S3-Touch-LCD-3.5","ESP32-S3R8; PSRAM 8 MB; Flash 16 MB; 3.5인치 320×480 정전식 터치","1","EA","불가","","","PC 측 제어기"
"2","제어보드","Raspberry Pi Zero 2 W","Raspberry Pi Ltd","Raspberry Pi Zero 2 W","2.4 GHz Wi-Fi 내장","1","EA","불가","","","Zero W 제외"
"3","제어보드","Raspberry Pi Pico 2 H","Raspberry Pi Ltd","Raspberry Pi Pico 2 H","헤더 실장 H 모델","1","EA","불가","","","Supervisor MCU"
"4","저장장치","High Endurance microSD","Samsung·SanDisk 또는 동등품","-","32 GB; 고내구성; A1 이상","2","EA","조건부","","","사용 1; 예비 1"
"5","액세서리","USB microSD 리더","범용","-","USB 2.0 이상; microSD 지원","1","EA","허용","","","보유 시 제외"
"6","센서","SHT45 I2C 온습도 모듈","Sensirion·Adafruit","SHT45 breakout 또는 Adafruit 5665","SHT45; 3.3 V I2C; 풀업 포함","1","EA","조건부","","","SHT40 제외"
"7","I/O","MCP23017 GPIO 확장 모듈","Microchip·Adafruit","MCP23017 module 또는 Adafruit 5346","16-bit I2C; 3.3 V; 주소 설정 가능","1","EA","조건부","","","완제품 모듈"
"8","조작부","EC11 로터리 엔코더","범용","EC11","푸시 스위치·노브 포함","2","EA","허용","","","패널 장착형"
"9","조작부","순간동작 푸시버튼","범용","-","12 mm; NO; 자동 복귀","6","EA","허용","","","색상 혼합 가능"
"10","알림","능동 버저 모듈","범용","-","DC 5 V; 로직 입력 또는 트랜지스터 구동","2","EA","조건부","","","수동 피에조 제외"
"11","표시","LED 세트","범용","-","5 mm 적·녹·황 혼합","1","SET","허용","","","상태 표시용"
"12","USB","절연 USB 모듈","범용; Analog Devices ADuM3160 기반","-","Full-Speed 12 Mbps; 절연 DC/DC 내장; host/device 방향 표시","2","EA","조건부","","","사용 1; 예비 1"
"13","USB","Pi Zero OTG 어댑터","범용","-","Micro-B male to USB-A female; 데이터 OTG","2","EA","허용","","","사용 1; 예비 1"
"14","USB","USB 2.0 A-B 케이블","범용","-","A male to B male; 차폐형; 약 1 m","2","EA","허용","","","데이터 케이블"
"15","절연소자","PhotoMOS 릴레이","Panasonic Industry","AQY212EH","DIP-4; 무전압 양방향 접점","5","EA","불가","","","사용 2; 예비 3"
"16","소켓","DIP-4 IC 소켓","범용","-","2.54 mm; DIP-4","5","EA","허용","","","PhotoMOS용"
"17","절연소자","AC 입력 옵토커플러","Lite-On","LTV-814","DIP-4; 역병렬 입력 LED","4","EA","불가","","","사용 1; 예비 3"
"18","PC 배선","PC 전면 패널 연장 케이블","범용","-","2핀 2.54 mm; 암-수","4","EA","허용","","","PWR_BTN·PWR_LED 경유"
"19","계측 배선","미니 그래버 테스트 훅 세트","범용","-","미세 피치; 완전 절연","1","SET","허용","","","VLX 핀 조사용"
"20","배선","30 AWG 연선","범용","-","실리콘 또는 래핑 와이어; 다색","1","SET","허용","","","VLX 하네스"
"21","커넥터","소형 커넥터 키트","JST 또는 동등품","-","PH 2.0 mm; XH 2.54 mm; 1.25 mm 피치 각 1세트","1","LOT","조건부","","","하우징·크림프 단자 포함"
"22","릴레이","신호용 릴레이","Omron","G5V-2 DC5","코일 DC 5 V; DPDT","2","EA","조건부","","","EXC 더미; 사용 1·예비 1"
"23","트랜지스터","NPN 트랜지스터","onsemi 또는 동등품","2N2222A","TO-92; 제조사 핀 배열 명시","10","EA","조건부","","","릴레이·버저 구동"
"24","다이오드","정류 다이오드","Diodes Inc. 또는 동등품","1N4007","1 A; 1,000 V; 축형","10","EA","허용","","","플라이백 억제"
"25","더미부하","12 V LED 표시 모듈","범용","-","DC 12 V; 직렬 저항 내장","2","EA","허용","","","EXC 부하 모사"
"26","전원","DC 12 V 어댑터","국내 인증품","-","출력 DC 12 V 1 A; 5.5×2.1 mm; 센터 플러스","1","EA","조건부","","","KC 인증"
"27","전원","DC 잭 터미널","범용","-","5.5×2.1 mm female; 스크루 단자","1","EA","허용","","","12 V 인입"
"28","전원","5 V USB 전원 어댑터","국내 인증품","-","USB-A 출력; DC 5 V 3 A","1","EA","조건부","","","LCD 보드용; KC 인증"
"29","USB","USB-C 데이터 케이블","범용","-","USB-A to USB-C; 데이터 지원","1","EA","허용","","","충전 전용 제외"
"30","전원","Micro-USB 전원 어댑터","Raspberry Pi 또는 국내 인증품","-","출력 DC 5 V 3 A; Micro-B","1","EA","조건부","","","Pi Zero 2 W용"
"31","USB","Micro-USB 데이터 케이블","범용","-","USB-A to Micro-B; 데이터 지원","1","EA","허용","","","Pico 2 H용"
"32","제작","브레드보드","범용","MB-102 동급","830 tie-points","3","EA","허용","","","노드별 분리"
"33","제작","듀퐁 점퍼선 세트","범용","-","M-M; M-F; F-F; 약 20 cm 각 1세트","1","LOT","허용","","","2.54 mm"
"34","제작","핀헤더 세트","범용","-","2.54 mm male·female; 직선형","1","SET","허용","","","모듈 장착"
"35","제작","스크루 터미널 브레이크아웃","범용","-","2핀 5개; 3핀 5개; 2.54 mm 핀 호환","1","LOT","허용","","","외부 배선 연결"
"36","수동소자","저항 키트","범용","-","1/4 W; 1%; 220 Ω~100 kΩ 주요값 포함","1","SET","허용","","","최소 220 Ω; 330 Ω; 1 kΩ; 2.2 kΩ; 4.7 kΩ; 10 kΩ; 100 kΩ"
"37","수동소자","세라믹 커패시터 키트","범용","-","100 nF; 1 µF 포함","1","SET","허용","","","디커플링·디바운스"
"38","수동소자","전해 커패시터 키트","범용","-","10 µF; 47 µF 포함; 16 V 이상","1","SET","허용","","","전원 안정화"
"39","배선","22 AWG 실리콘 연선","범용","-","적색 5 m; 흑색 5 m","1","LOT","허용","","","저전압 전원"
"40","절연재","열수축 튜브 세트","범용","-","내경 1~6 mm 혼합","1","SET","허용","","","납땜부 절연"
"41","제작","만능기판","범용","-","2.54 mm; 단면 독립 패드형","3","EA","허용","","","검증 후 고정"
"42","보호","인라인 퓨즈 세트","범용","-","5×20 mm 홀더와 1 A slow-blow 퓨즈","2","SET","조건부","","","5 V·12 V 저전압 분기"
